iter	Passed	Remaining
398	112426	56635
399	112711	56355
400	113008	56081
401	113276	55792
402	113526	55495
403	113762	55191
404	114033	54904
405	114352	54641
406	114674	54378
407	114940	54089
408	115180	53788
409	115564	53554
410	115819	53259
411	116131	52992
412	116460	52731
413	116791	52471
414	117101	52201
415	117382	51919
416	117688	51647
417	117980	51369
418	118270	51090
419	118543	50804
420	118777	50501
421	119118	50244
422	119432	49975
423	119675	49676
424	119969	49399
425	120271	49125
426	120512	48826
427	120802	48546
428	121019	48238
429	121389	47991
430	121662	47705
431	121968	47432
432	122211	47134
433	122520	46862
434	122856	46600
435	123159	46326
436	123512	46069
437	123767	45776
438	124098	45512
439	124410	45240
440	124770	44985
441	125112	44723
442	125387	44437
443	125710	44168
444	126007	43890
445	126257	43595
446	126590	43329
447	126927	43064
448	127258	42797
449	127608	42536
450	127981	42282
451	128262	41997
452	128591	41728
453	128856	41438
454	129166	41163
455	129429	40872
456	129755	40601
457	130041	40318
458	130328	40035
459	130643	39761
460	131015	39503
461	131282	39214
462	131592	38937
463	131891	38657
464	132091	38349
465	132388	38068
466	132646	37777
467	132985	37508
468	133296	37232
469	133608	36955
470	133929	36681
471	134253	36407
472	134588	36136
473	134934	35868
474	135182	35574
475	135488	35295
476	135818	35022
477	136090	34734
478	136342	34441
479	136600	34150
480	136883	33865
481	137208	33590
482	137490	33305
483	137850	33038
484	138134	32753
485	138432	32471
486	138708	32184
487	138974	31895
488	139250	31609
489	139547	31327
490	139892	31055
491	140219	30779
492	140558	30506
493	140817	30216
494	141085	29927
495	141409	29650
496	141713	29369
497	141955	29075
498	142280	28798
499	142583	28516
500	142794	28216
501	143149	27945
502	143496	27672
503	143777	27386
504	144032	27095
505	144301	26807
506	144569	26518
507	144818	26226
508	145100	25941
509	145396	25658
510	145762	25387
511	146046	25101
512	146381	24824
513	146719	24548
514	147014	24264
515	147269	23974
516	147570	23691
517	147923	23416
518	148106	23114
519	148369	22826
520	148610	22534
521	148883	22246
522	149176	21962
523	149490	21681
524	149875	21410
525	150183	21128
526	150449	20840
527	150772	20559
528	151121	20282
529	151367	19991
530	151608	19700
531	151989	19427
532	152286	19142
533	152600	18860
534	152928	18580
535	153193	18291
536	153557	18015
537	153922	17738
538	154222	17453
539	154486	17165
540	154698	16871
541	154946	16580
542	155191	16290
543	155421	15999
544	155717	15714
545	155981	15426
546	156398	15153
547	156688	14868
548	157041	14588
549	157364	14305
550	157680	14022
551	157969	13736
552	158236	13448
553	158510	13161
554	158756	12872
555	159014	12583
556	159309	12298
557	159633	12015
558	159999	11735
559	160268	11447
560	160659	11168
561	160975	10884
562	161329	10602
563	161654	10318
564	161994	10035
565	162235	9745
566	162553	9460
567	162773	9170
568	162990	8879
569	163275	8593
570	163607	8309
571	163923	8024
572	164313	7742
573	164632	7457
574	164968	7172
575	165310	6887
576	165636	6602
577	165933	6315
578	166223	6028
579	166538	5742
580	166895	5457
581	167212	5171
582	167566	4886
583	167930	4600
584	168232	4313
585	168522	4026
586	168842	3739
587	169073	3450
588	169327	3162
589	169713	2876
590	169892	2587
591	170287	2301
592	170757	2015
593	171001	1727
594	171469	1440
595	171780	1152
596	172247	865
597	172569	577
598	172909	288
599	173449	0
